lpse_name,lpse_url,source_type,package_code,package_name,institution_name,hps_or_pagu,stage_or_status,method,fiscal_year,detail_url,source_url,collected_at,raw_file_path,evidence_level,schedule,participants,winner,contract,document_links,raw_bundle_json
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,39250011,Pencetakan Pita Cukai Desain Tahun 2025 dan 2026,Kementerian Keuangan,"891,2 M",Paket Sudah Selesai,Penunjukan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/39250011/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\39250011\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Upload Dokumen Penawaran | 15 September 2024 20:00 | 11 Oktober 2024 16:00 | 2 kali perubahan || 2 | Pembukaan Dokumen Penawaran | 11 Oktober 2024 16:01 | 14 Oktober 2024 09:00 | 2 kali perubahan || 3 | Evaluasi Penawaran | 14 Oktober 2024 10:00 | 23 Oktober 2024 17:00 | 2 kali perubahan,"1 | PERUM PERURI ( Perum Percetakan Uang RI ) | 0*.0**.4**.*-*51.**0 | Rp. 891.240.808.136,70 | Rp. 891.240.808.136,70 | Rp. 890.840.337.952,20","1 | PERUM PERURI ( Perum Percetakan Uang RI ) | 0*.0**.4**.*-*51.**0 | Rp. 891.240.808.136,70 | Rp. 891.240.808.136,70 | Rp. 890.840.337.952,20",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\39250011\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\39250011\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\39250011\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\39250011\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\39250011\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10521062000,Pengadaan Sewa Disaster Recovery Center 2026,Komisi Pemberantasan Korupsi,"1,8 M",Paket Sudah Selesai,Penunjukan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10521062000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10521062000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Pengumuman Prakualifikasi | 29 Oktober 2025 12:00 | 6 November 2025 12:00 | 1 kali perubahan || 2 | Kirim Persyaratan Kualifikasi | 29 Oktober 2025 12:00 | 6 November 2025 12:00 | 1 kali perubahan || 3 | Evaluasi Dokumen Kualifikasi | 6 November 2025 12:01 | 7 November 2025 23:59 | 1 kali perubahan,"1 | PT Dinamika Raya Prima | 0*.6**.4**.*-*03.**1 | Rp. 1.802.862.000,00 | Rp. 1.802.862.000,00 | Rp. 1.775.023.200,00","1 | PT Dinamika Raya Prima | 0*.6**.4**.*-*03.**1 | Rp. 1.802.862.000,00 | Rp. 1.802.862.000,00 | Rp. 1.775.023.200,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10521062000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10521062000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10521062000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10521062000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10521062000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10526951000,Pengadaan Sewa Layanan Telkom 2026,Komisi Pemberantasan Korupsi,"4,1 M",Paket Sudah Selesai,Penunjukan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10526951000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10526951000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Pengumuman Prakualifikasi | 30 Oktober 2025 18:00 | 5 November 2025 12:00 | 1 kali perubahan || 2 | Kirim Persyaratan Kualifikasi | 30 Oktober 2025 18:00 | 6 November 2025 17:00 | 1 kali perubahan || 3 | Evaluasi Dokumen Kualifikasi | 6 November 2025 17:01 | 7 November 2025 23:59 | 1 kali perubahan,"1 | PT Telekomunikasi Indonesia, Tbk | 00*0**0****93**0 | Rp. 4.149.406.440,00 | Rp. 4.149.406.440,00 | Rp. 4.103.184.708,00","1 | PT. Telekomunikasi Indonesia, Tbk. | 00*0**0****93**0 | Rp. 4.149.406.440,00 | Rp. 4.149.406.440,00 | Rp. 4.103.184.708,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10526951000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10526951000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10526951000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10526951000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10526951000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10528845000,Jasa Konsultan Perencana Rekonstruksi Rumah Dinas Kantor Pelayanan Perbendaharaan Negara Timika Tipe A2 Tahun Anggaran 2026 Pengadaan Langsung Batal,Kementerian Keuangan,"99,4 Jt",Paket Dibatalkan,Pengadaan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10528845000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10528845000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Upload Dokumen Penawaran | 21 November 2025 08:00 | 24 November 2025 23:00 | Tidak Ada || 2 | Pembukaan Dokumen Penawaran | 25 November 2025 08:01 | 25 November 2025 23:00 | Tidak Ada || 3 | Evaluasi Penawaran | 26 November 2025 08:01 | 27 November 2025 10:00 | Tidak Ada,1 | PT. DARMASRAYA MITRA AMERTA | 07*4**5****41**0,1 | PT. DARMASRAYA MITRA AMERTA | 07*4**5****41**0,,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10528845000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10528845000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10528845000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10528845000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10528845000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10545857000,Pengadaan Pemeliharaan ELO Enterprise Content Management (ECM) 2026,Komisi Pemberantasan Korupsi,"1,4 M",Paket Sudah Selesai,Penunjukan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10545857000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10545857000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Pengumuman Prakualifikasi | 4 November 2025 18:00 | 11 November 2025 12:00 | 2 kali perubahan || 2 | Kirim Persyaratan Kualifikasi | 4 November 2025 18:00 | 12 November 2025 14:00 | 2 kali perubahan || 3 | Evaluasi Dokumen Kualifikasi | 12 November 2025 14:01 | 12 November 2025 23:59 | 2 kali perubahan,"1 | PT ELO Digital Office Indonesia | 00*4**2****35**0 | Rp. 1.428.320.250,00 | Rp. 1.428.320.250,00 | Rp. 1.387.511.100,00","1 | PT. ELO Digital Office Indonesia | 00*4**2****35**0 | Rp. 1.428.320.250,00 | Rp. 1.428.320.250,00 | Rp. 1.387.511.100,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10545857000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10545857000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10545857000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10545857000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10545857000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10546062000,Pengadaan Pemeliharaan Sistem Keamanan Terpadu Gedung Cawang 2026,Komisi Pemberantasan Korupsi,"403,6 Jt",Paket Sudah Selesai,Penunjukan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10546062000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10546062000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Pengumuman Prakualifikasi | 4 November 2025 17:00 | 11 November 2025 12:00 | Tidak Ada || 2 | Kirim Persyaratan Kualifikasi | 4 November 2025 17:00 | 11 November 2025 12:00 | Tidak Ada || 3 | Evaluasi Dokumen Kualifikasi | 11 November 2025 12:01 | 12 November 2025 23:59 | Tidak Ada,,"1 | PT. HSG Teknologi Indonesia | 07*7**2****43**0 | Rp. 401.553.600,00 | Rp. 401.553.600,00 | Rp. 397.905.696,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10546062000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10546062000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10546062000\\schedule.html"", ""participants_html"": """", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10546062000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10550656000,Pengadaan Perpanjangan Lisensi Software Digital Forensics 2026,Komisi Pemberantasan Korupsi,"186,2 Jt",Paket Sudah Selesai,Pengadaan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10550656000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10550656000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Upload Dokumen Penawaran | 6 November 2025 12:00 | 13 November 2025 15:00 | 3 kali perubahan || 2 | Pembukaan Dokumen Penawaran | 13 November 2025 15:05 | 13 November 2025 15:30 | 3 kali perubahan || 3 | Evaluasi Penawaran | 13 November 2025 15:35 | 19 November 2025 17:00 | 3 kali perubahan,"1 | CV Bounga Solusi Informatika | 00*2**4****29**0 | Rp. 184.980.168,00 | Rp. 184.980.168,00 | Rp. 183.660.600,00 || 2 | Cyber Xpert Nusantara | 03*7**8****35**0","1 | CV Bounga Solusi Informatika | 00*2**4****29**0 | Rp. 184.980.168,00 | Rp. 184.980.168,00 | Rp. 183.660.600,00 || 2 | Cyber Xpert Nusantara | 03*7**8****35**0",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10550656000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10550656000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10550656000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10550656000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10550656000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10554253000,Pengadaan Pemeliharaan AC Split,Komisi Pemberantasan Korupsi,"199,9 Jt",Paket Sudah Selesai,Pengadaan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10554253000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10554253000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,,"1 | PT ANGKA WIJAYASENTOSA | 00*8**0****05**0 | Rp. 190.280.640,00 | Rp. 190.280.640,00 | Rp. 189.388.200,00 || 2 | SAKHA AGUNG CEMERLANG | 04*2**9****15**0","1 | PT ANGKA WIJAYASENTOSA | 00*8**0****05**0 | Rp. 190.280.640,00 | Rp. 190.280.640,00 | Rp. 189.388.200,00 || 2 | SAKHA AGUNG CEMERLANG | 04*2**9****15**0",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10554253000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10554253000\\detail.html"", ""schedule_html"": """", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10554253000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10554253000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10559644000,Jasa Konsultansi Konstruksi Perencanaan Renovasi GKN Semarang I Lantai 3 dan 4,Kementerian Keuangan,"99,9 Jt",Paket Sudah Selesai,Pengadaan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10559644000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10559644000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Upload Dokumen Penawaran | 26 November 2025 13:00 | 28 November 2025 23:59 | Tidak Ada || 2 | Pembukaan Dokumen Penawaran | 1 Desember 2025 08:01 | 1 Desember 2025 08:30 | Tidak Ada || 3 | Evaluasi Penawaran | 1 Desember 2025 08:31 | 1 Desember 2025 09:20 | Tidak Ada,"1 | PT YUDHA PERKASA KONSULTAN | 08*6**7****33**0 | Rp. 99.886.014,00 | Rp. 99.886.014,00 | Rp. 99.553.014,00","1 | PT. YUDHA PERKASA KONSULTAN | 08*6**7****33**0 | Rp. 99.886.014,00 | Rp. 99.886.014,00 | Rp. 99.553.014,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559644000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559644000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559644000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559644000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559644000\\winner.html"", ""contract_html"": """"}"
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,https://spse.inaproc.id/kemenkeu,nontender,10559687000,Jasa Konsultansi Konstruksi Perencanaan Renovasi Rumah Negara Gol. II dan Pagar Sibayak,Kementerian Keuangan,100 Jt,Paket Sudah Selesai,Pengadaan Langsung,2026,https://spse.inaproc.id/kemenkeu/nontender/10559687000/pengumumanpl,https://spse.inaproc.id/kemenkeu/nontender?tahun=2026,2026-07-06T00:57:22+00:00,data\evidence\lpse\raw\kemenkeu\2026\nontender\10559687000\manifest.json,LPSE_PUBLIC_DETAIL_FOUND,1 | Upload Dokumen Penawaran | 28 November 2025 10:30 | 28 November 2025 10:31 | 1 kali perubahan || 2 | Pembukaan Dokumen Penawaran | 28 November 2025 10:32 | 28 November 2025 10:45 | 1 kali perubahan || 3 | Evaluasi Penawaran | 28 November 2025 10:46 | 28 November 2025 11:15 | 1 kali perubahan,"1 | CV POLARIS | 00*3**0****06**0 | Rp. 99.650.250,00 | Rp. 99.650.250,00 | Rp. 99.000.900,00","1 | CV. POLARIS | 00*3**0****06**0 | Rp. 99.650.250,00 | Rp. 99.650.250,00 | Rp. 99.000.900,00",,,"{""manifest"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559687000\\manifest.json"", ""source_list_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\list.html"", ""source_datatable_json"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\_source\\datatable.json"", ""detail_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559687000\\detail.html"", ""schedule_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559687000\\schedule.html"", ""participants_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559687000\\participants.html"", ""winner_html"": ""data\\evidence\\lpse\\raw\\kemenkeu\\2026\\nontender\\10559687000\\winner.html"", ""contract_html"": """"}"
