source_url,source_type,package_code,package_name,institution_name,stage_or_status,hps_or_pagu,fiscal_year,collected_at,evidence_level,raw_file_path
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10149391000,Peningkatan Jalan Walet desa Fajar Baru Kec.Jati Agung Tender Ulang,Kab. Lampung Selatan,Pengumuman Pascakualifikasi [...],530 Jt,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10149390000,"Peningkatan Jalan Nakula Sadewa Desa Margorejo, Kec. Jati Agung Tender Ulang",Kab. Lampung Selatan,Pengumuman Pascakualifikasi [...],500 Jt,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10149386000,Rekonstruksi Ruas Jalan Banjarmasin - Rawi (R.058) Kec.Penengahan Tender Ulang,Kab. Lampung Selatan,Pengumuman Pascakualifikasi [...],"10,3 M",2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148970000,PEMBANGUNAN PUSKESMAS BRAJACAKA,Kab. Lampung Timur,Pengumuman Pascakualifikasi [...],"5,7 M",2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148860000,Pengadaan Interior Ex. Samsat Polres Tulang Bawang,Kab. Tulang Bawang,Pengumuman Pascakualifikasi [...],680 Jt,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148689000,Penyusunan Dokumen Feasibility Study dan Master Plan Sport Center Papua Tengah Seleksi Ulang,Provinsi Papua Tengah,Pengumuman Prakualifikasi [...],3 M,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148685000,Rehabilitasi Total Gedung Rawat Inap Penyakit Dalam Wanita RSUD Dr H Bob Bazar SKM(DAK),Kab. Lampung Selatan,Pengumuman Pascakualifikasi [...],"3,2 M",2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148659000,Rehabilitasi Total Gedung Rawat Inap Penyakit Dalam Pria RSUD Dr H Bob Bazar SKM (DAK),Kab. Lampung Selatan,Pengumuman Pascakualifikasi [...],3 M,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148387000,Manajemen Konstruksi Pembangunan Rumah Susun Grup 2 Kopassus Sukoharjo,Kementerian Perumahan dan Kawasan Permukiman,Tidak Ada Jadwal,"1,4 M",2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
https://spse.inaproc.id/nasional/dt/lelang?tahun=2026,tender,10148252000,Peningkatan Jembatan Penguhubung antar Desa Radak Dua dan Radak Satu Kec. Terentang,Kementerian Transmigrasi,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga",2 M,2026,2026-07-05T20:09:00+00:00,SPSE_NATIONAL_PROCESS_FOUND,data\evidence\spse\nasional\raw\2026-07-05T200900Z0000_tender_2026_datatable.json
