nama_lpse,instansi,kategori_instansi,provinsi,kabupaten_kota,official_lpse_url,domain,https,aktif,dapat_diakses,menggunakan_spse,versi_spse,portal_induk,tanggal_pengecekan,source_url,source_page,source_page_number,source_filter_provinsi,source_note,province_mentioned_in_name,province_mismatch_suspected,missing_official_url,missing_domain,missing_spse_version,inactive_or_inaccessible,quality_flag_count,quality_flags
LPSE Provinsi Papua Tengah,LPSE Provinsi Papua Tengah,Pemerintah Provinsi,Papua Selatan,,,,,False,,True,,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1164/lpse-provinsi-papua-tengah,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1164/lpse-provinsi-papua-tengah,Papua Tengah,True,True,True,True,True,5,"['province_mismatch_suspected', 'missing_official_url', 'missing_domain', 'missing_spse_version', 'inactive_or_inaccessible']"
Prov Papua Tengah,Prov Papua Tengah,,Papua Selatan,,,,,False,,True,,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1165/prov-papua-tengah,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1165/prov-papua-tengah,Papua Tengah,True,True,True,True,True,5,"['province_mismatch_suspected', 'missing_official_url', 'missing_domain', 'missing_spse_version', 'inactive_or_inaccessible']"
LPSE Kota Surabaya,LPSE Kota Surabaya,Pemerintah Kota,Jawa Timur,LPSE Kota Surabaya,https://spse.inaproc.id/surabaya,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/10/lpse-kota-surabaya,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/10/lpse-kota-surabaya,,False,False,False,False,False,0,[]
LPSE Kementerian Keuangan,LPSE Kementerian Keuangan,Kementerian,DKI Jakarta,,https://spse.inaproc.id/kemenkeu,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/11/lpse-kementerian-keuangan,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/11/lpse-kementerian-keuangan,,False,False,False,False,False,0,[]
LPSE Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,LPSE Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Kementerian,DKI Jakarta,,https://lpse.kemenkeu.go.id/eproc4,lpse.kemenkeu.go.id,True,False,False,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1118/lpse-kementerian-koordinator-bidang-pembangunan-manusia-dan-kebudayaan,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1118/lpse-kementerian-koordinator-bidang-pembangunan-manusia-dan-kebudayaan,,False,False,False,False,True,1,['inactive_or_inaccessible']
LPSE Kementerian Badan Usaha Milik Negara,LPSE Kementerian Badan Usaha Milik Negara,Kementerian,DKI Jakarta,,https://lpse.kemenkeu.go.id/eproc4,lpse.kemenkeu.go.id,True,False,False,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1119/lpse-kementerian-badan-usaha-milik-negara,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1119/lpse-kementerian-badan-usaha-milik-negara,,False,False,False,False,True,1,['inactive_or_inaccessible']
Komisi Pemberantasan Korupsi,Komisi Pemberantasan Korupsi,,DKI Jakarta,,https://spse.inaproc.id/kemenkeu,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1123/komisi-pemberantasan-korupsi,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1123/komisi-pemberantasan-korupsi,,False,False,False,False,False,0,[]
Pusat Pelaporan dan Analisis Transaksi Keuangan,Pusat Pelaporan dan Analisis Transaksi Keuangan,,DKI Jakarta,,https://spse.inaproc.id/kemenkeu,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1125/pusat-pelaporan-dan-analisis-transaksi-keuangan,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1125/pusat-pelaporan-dan-analisis-transaksi-keuangan,,False,False,False,False,False,0,[]
Lembaga Administrasi Negara,Lembaga Administrasi Negara,Lembaga,DKI Jakarta,,https://spse.inaproc.id/kemenkeu,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1130/lembaga-administrasi-negara,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1130/lembaga-administrasi-negara,,False,False,False,False,False,0,[]
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,Kementerian,DKI Jakarta,,https://spse.inaproc.id/kemenkeu,spse.inaproc.id,True,True,True,True,4.5u20240923,https://eproc.lkpp.go.id,2026-07-05T22:16:06+00:00,https://eproc.lkpp.go.id/lpse/index,http://eproc.lkpp.go.id/lpse/read/1153/kementerian-koordinator-bidang-pembangunan-manusia-dan-kebudayaan,1,,registry card from eProc index; detail_url=http://eproc.lkpp.go.id/lpse/read/1153/kementerian-koordinator-bidang-pembangunan-manusia-dan-kebudayaan,,False,False,False,False,False,0,[]
