institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,"Jawa Timur, Surabaya (Kota)",NATIONAL,1,9660000,May 2026,PRINTER,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,"Jambi, Jambi (Kota)",NATIONAL,5,88466000,May 2026,LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,"Sumatera Selatan, Palembang (Kota)",NATIONAL,1,7577000,May 2026,PRINTER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Bali,01 Perumahan dan Kawasan Permukiman Provinsi Bali — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Bali,"Bali, Denpasar (Kota)",PROVINCE,7,69045000,June 2026; May 2026,CAMERA_VIDEO; DESKTOP; LAPTOP; PRINTER; SCANNER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,"Nusa Tenggara Barat, Lombok Barat (Kab.)",PROVINCE,2,28710000,May 2026,PRINTER,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,"Sumatera Selatan, Palembang (Kota)",PROVINCE,1,2327000,May 2026,OFFICE_FURNITURE,,,,,,,,
03 BALAI HARTA PENINGGALAN SEMARANG,03 BALAI HARTA PENINGGALAN SEMARANG — Kementerian Hukum,Kementerian Hukum,03 BALAI HARTA PENINGGALAN SEMARANG,"Jawa Tengah, Semarang (Kota)",NATIONAL,1,2480000,May 2026,OFFICE_FURNITURE,,,,,,,,
03 BALAI PELATIHAN HUKUM JAWA TENGAH,03 BALAI PELATIHAN HUKUM JAWA TENGAH — Kementerian Hukum,Kementerian Hukum,03 BALAI PELATIHAN HUKUM JAWA TENGAH,"Jawa Tengah, Semarang (Kota)",NATIONAL,1,48000000,May 2026,LAPTOP,,,,,,,,
05 KANWIL JAWA TIMUR AHU,05 KANWIL JAWA TIMUR AHU — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR AHU,"Jawa Timur, Surabaya (Kota)",NATIONAL,1,34800000,May 2026,IT_HARDWARE,,,,,,,,
05 KANWIL JAWA TIMUR SETJEN,05 KANWIL JAWA TIMUR SETJEN — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR SETJEN,"Jawa Timur, Surabaya (Kota)",NATIONAL,4,207649000,June 2026; May 2026,CCTV; IT_HARDWARE; LAPTOP,,,,,,,,
