institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
Dinas Kesehatan,Dinas Kesehatan — Kab. Sukoharjo,Kab. Sukoharjo,Dinas Kesehatan,"Jawa Tengah, Sukoharjo (Kab.)",LOCAL_AGENCY,202,9900166818,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; STORAGE; UPS,,,,,,,,
DINAS KESEHATAN,DINAS KESEHATAN — Kab. Wonogiri,Kab. Wonogiri,DINAS KESEHATAN,"Jawa Tengah, Wonogiri (Kab.)",LOCAL_AGENCY,175,4140111362,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; SERVER; STORAGE; UPS,,,,,,,,
Sekretariat Daerah,Sekretariat Daerah — Kab. Ciamis,Kab. Ciamis,Sekretariat Daerah,"Jawa Barat, Ciamis (Kab.)",LOCAL_AGENCY,136,6044617909,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; STORAGE; UPS,,,,,,,,
Dinas Perhubungan,Dinas Perhubungan — Kab. Purwakarta,Kab. Purwakarta,Dinas Perhubungan,"Jawa Barat, Purwakarta (Kab.)",LOCAL_AGENCY,114,5228936746,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Kependudukan dan Pencatatan Sipil,Dinas Kependudukan dan Pencatatan Sipil — Kota Malang,Kota Malang,Dinas Kependudukan dan Pencatatan Sipil,"Jawa Timur, Malang (Kota)",LOCAL_AGENCY,94,7590440390,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; SERVER,,,,,,,,
SEKRETARIAT DAERAH,SEKRETARIAT DAERAH — Kota Padang Panjang,Kota Padang Panjang,SEKRETARIAT DAERAH,"Sumatera Barat, Padang Panjang (Kota)",LOCAL_AGENCY,77,2363196892,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Lingkungan Hidup,Dinas Lingkungan Hidup — Kab. Banggai,Kab. Banggai,Dinas Lingkungan Hidup,"Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Banggai (Kab.) | Sulawesi Tengah, Banggai (Kab.)",LOCAL_AGENCY,75,1564012086,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; STORAGE,,,,,,,,
Badan Kesatuan Bangsa dan Politik,Badan Kesatuan Bangsa dan Politik — Kab. Ciamis,Kab. Ciamis,Badan Kesatuan Bangsa dan Politik,"Jawa Barat, Ciamis (Kab.)",LOCAL_AGENCY,61,1170074104,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,,,,,,,,
DINAS KOMUNIKASI DAN INFORMATIKA,DINAS KOMUNIKASI DAN INFORMATIKA — Kab. Kendal,Kab. Kendal,DINAS KOMUNIKASI DAN INFORMATIKA,"Jawa Tengah, Kendal (Kab.)",LOCAL_AGENCY,53,12195089958,June 2026; May 2026,AUDIO; CAMERA_VIDEO; CCTV; DESKTOP; IT_HARDWARE; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; SERVER,,,,,,,,
Badan Pengelola Keuangan dan Aset Daerah,Badan Pengelola Keuangan dan Aset Daerah — Kota Cimahi,Kota Cimahi,Badan Pengelola Keuangan dan Aset Daerah,"Jawa Barat, Cimahi (Kota) | Jawa Barat, Cimahi (Kota) | Jawa Barat, Cimahi (Kota)",LOCAL_AGENCY,53,992224740,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS LINGKUNGAN HIDUP,DINAS LINGKUNGAN HIDUP — Kab. Tanah Bumbu,Kab. Tanah Bumbu,DINAS LINGKUNGAN HIDUP,"Kalimantan Selatan, Tanah Bumbu (Kab.)",LOCAL_AGENCY,48,464132389,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER; UPS,,,,,,,,
Dinas Sosial,Dinas Sosial — Kota Pariaman,Kota Pariaman,Dinas Sosial,"Sumatera Barat, Pariaman (Kota)",LOCAL_AGENCY,46,3213705135,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL — Kab. Deli Serdang,Kab. Deli Serdang,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,"Sumatera Utara, Deli Serdang (Kab.)",LOCAL_AGENCY,45,3279672750,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; SERVER; UPS,,,,,,,,
DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG — Kota Solok,Kota Solok,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,"Sumatera Barat, Solok (Kota)",LOCAL_AGENCY,42,618931366,June 2026; May 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER; SCANNER; STORAGE,,,,,,,,
INSPEKTORAT,INSPEKTORAT — Kota Surakarta,Kota Surakarta,INSPEKTORAT,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,40,2433946547,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER; SERVER; STORAGE,,,,,,,,
BADAN KESATUAN BANGSA DAN POLITIK,BADAN KESATUAN BANGSA DAN POLITIK — Kab. Kepulauan Mentawai,Kab. Kepulauan Mentawai,BADAN KESATUAN BANGSA DAN POLITIK,"Sumatera Barat, Kepulauan Mentawai (Kab.)",LOCAL_AGENCY,39,1874623426,June 2026; May 2026,AUDIO; CAMERA_VIDEO; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
Dinas Pertanian,Dinas Pertanian — Kab. Ogan Komering Ulu,Kab. Ogan Komering Ulu,Dinas Pertanian,"Sumatera Selatan, Ogan Komering Ulu (Kab.) | Sumatera Selatan, Ogan Komering Ulu (Kab.) | Sumatera Selatan, Ogan Komering Ulu (Kab.)",LOCAL_AGENCY,38,750799528,June 2026; May 2026,AUDIO; DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
DINAS PERTANIAN,DINAS PERTANIAN — Kab. Indragiri Hilir,Kab. Indragiri Hilir,DINAS PERTANIAN,"Riau, Indragiri Hilir (Kab.)",LOCAL_AGENCY,38,675734700,June 2026; May 2026,AUDIO; CCTV; DESKTOP; IT_HARDWARE; OFFICE_FURNITURE; PRINTER; STORAGE,,,,,,,,
