institution_name,institution_display_name,parent_organization,work_unit,province_or_region,location_hint,target_level,send_readiness,exclusion_reason,total_relevant_packages,total_pagu,months_found,relevant_categories,example_package_names,evidence_status,spse_status,contact_status,outreach_status,contact_match_type,contact_match_key,contact_match_source_file,contact_match_source_type,contact_master_institution_name,contact_master_display_name,contact_master_parent_organization,contact_master_work_unit,contact_master_region,contact_email,official_website,contact_phone,contact_whatsapp,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Jawa IV,Jawa Timur,"Jawa Timur, Surabaya (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,1,9660000,May 2026,PRINTER,Pembelian Printer [67206414],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera IV,Jambi,"Jambi, Jambi (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,5,88466000,May 2026,LAPTOP; NETWORKING; OFFICE_FURNITURE; PRINTER; SCANNER,Kursi Kerja Kantor (2) [67216586] | Kursi Kerja Kantor [67197974] | Meja Kerja Kantor Custom [67137242] | Laptop 2in1 [67111229] | Printer Scanner Wifi [67111153],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Balai Pelaksana Penyediaan Perumahan dan Kawasan Permukiman Sumatera V,Sumatera Selatan,"Sumatera Selatan, Palembang (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,1,7577000,May 2026,PRINTER,Printer [67122297],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Bali,01 Perumahan dan Kawasan Permukiman Provinsi Bali — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Bali,Bali,"Bali, Denpasar (Kota)",PROVINCE,READY_FOR_CONTACT_SEARCH,NONE,7,69045000,June 2026; May 2026,CAMERA_VIDEO; DESKTOP; LAPTOP; PRINTER; SCANNER,Printer all in one [67215646] | Pemeliharaan Scanner [63562372] | Kamera [63562366] | Pemeliharaan Laptop [63562381] | Pemeliharaan Notebook [63562377],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Nusa Tenggara Barat,Nusa Tenggara Barat,"Nusa Tenggara Barat, Lombok Barat (Kab.)",PROVINCE,READY_FOR_CONTACT_SEARCH,NONE,2,28710000,May 2026,PRINTER,Printer Dokumen A4 [67181625] | Printer Dokumen A3 [67113566],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan — Kementerian Perumahan dan Kawasan Permukiman,Kementerian Perumahan dan Kawasan Permukiman,01 Perumahan dan Kawasan Permukiman Provinsi Sumatera Selatan,Sumatera Selatan,"Sumatera Selatan, Palembang (Kota)",PROVINCE,READY_FOR_CONTACT_SEARCH,NONE,1,2327000,May 2026,OFFICE_FURNITURE,Pengadaan Kursi Tunggu [67142617],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
03 BALAI HARTA PENINGGALAN SEMARANG,03 BALAI HARTA PENINGGALAN SEMARANG — Kementerian Hukum,Kementerian Hukum,03 BALAI HARTA PENINGGALAN SEMARANG,Jawa Tengah,"Jawa Tengah, Semarang (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,1,2480000,May 2026,OFFICE_FURNITURE,Pengadaan Belanja Modal Peralatan dan Mesin berupa Kursi Roda Balai Harta Peninggalan Semarang Tahun Anggaran 2026 [67153516],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
03 BALAI PELATIHAN HUKUM JAWA TENGAH,03 BALAI PELATIHAN HUKUM JAWA TENGAH — Kementerian Hukum,Kementerian Hukum,03 BALAI PELATIHAN HUKUM JAWA TENGAH,Jawa Tengah,"Jawa Tengah, Semarang (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,1,48000000,May 2026,LAPTOP,Pengadaan Sewa Laptop untuk Dukungan Operasional Administrasi dan Transformasi Digital Layanan pada Balai Pelatihan Hukum Semarang - Jawa Tengah Tahun Anggaran 2026 [67157067],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
05 KANWIL JAWA TIMUR AHU,05 KANWIL JAWA TIMUR AHU — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR AHU,Jawa Timur,"Jawa Timur, Surabaya (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,1,34800000,May 2026,IT_HARDWARE,Pengadaan ATK dan Komputer Supplies untuk Kegiatan Dukungan Kesekretariatan dan Pengawasan MPD Pada Kantor Wilayah Kementerian Hukum Jawa Timur - Jawa Timur Tahun Anggaran 2026 [67187895],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
05 KANWIL JAWA TIMUR SETJEN,05 KANWIL JAWA TIMUR SETJEN — Kementerian Hukum,Kementerian Hukum,05 KANWIL JAWA TIMUR SETJEN,Jawa Timur,"Jawa Timur, Surabaya (Kota)",NATIONAL,READY_FOR_CONTACT_SEARCH,NONE,4,207649000,June 2026; May 2026,CCTV; IT_HARDWARE; LAPTOP,Pengadan Belanja Pemeliharaan laptop pada Kanwil hukum Jawa Timur Tahun Anggaran 2026 [65656364] | Pengadaan Belanja Modal Peralatan dan Mesin berupa CCTV pada Kanwil Hukum Jawa Timur Tahun Anggaran 2026 [65654357] | Pengadaan Belanja Modal Peralatan dan Mesin berupa Laptop pada Kanwil Hukum Jawa Timur Tahun Anggaran 2026 [65654356] | Pengadaan Belanja Bahan Komputer untuk kegiatan Penyusunan Laporan Kinerja Instansi Pemerintah pada Kanwil Kementerian Hukum Jawa timur Tahun Anggaran 2026 [65654185],SIRUP_PLANNING_ONLY,SPSE_NOT_CHECKED_NATIONALLY,CONTACT_MISSING,NOT_CONTACTED,unmatched,,,,,,,,,,,,,,,,,
