idSatker,idKldi,kldi,historical_display_name,historical_name_variant_count,historical_name_variants,current_name_authority,current_name_status,historical_governed_package_count,historical_governed_total_pagu,historical_demand_families,historical_semantic_states,first_observed_package_id,last_observed_package_id,taxonomy_version,taxonomy_sha256,printing_resolver_version,historical_only,current_opportunity_authority,contact_authority,outreach_authority,email_send_authority
1,L42,Majelis Permusyawaratan Rakyat,SEKRETARIAT JENDERAL,1,"[{""name"":""SEKRETARIAT JENDERAL"",""count"":23,""first_observed_package_id"":62467482,""last_observed_package_id"":66845305}]",False,NOT_CURRENTLY_VERIFIED,23,4768247000.0,"[""AIR_CONDITIONING"",""CAMERA"",""CCTV"",""COMPUTING"",""DISPLAY"",""NETWORKING"",""OFFICE_APPLIANCE"",""POWER"",""PRINTING_HARDWARE"",""SERVER""]","[""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED"",""PURCHASE_EXPLICIT"",""RENTAL_SUBSCRIPTION_LICENSE""]",62467482,66845305,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
2,L42,Majelis Permusyawaratan Rakyat,MAJELIS,1,"[{""name"":""MAJELIS"",""count"":1,""first_observed_package_id"":66812391,""last_observed_package_id"":66812391}]",False,NOT_CURRENTLY_VERIFIED,1,150000000.0,"[""POWER""]","[""RENTAL_SUBSCRIPTION_LICENSE""]",66812391,66812391,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
3,L28,Dewan Perwakilan Rakyat,Sekretariat Jenderal,1,"[{""name"":""Sekretariat Jenderal"",""count"":25,""first_observed_package_id"":62117247,""last_observed_package_id"":67220167}]",False,NOT_CURRENTLY_VERIFIED,25,63558550000.0,"[""AIR_CONDITIONING"",""CAMERA"",""CCTV"",""COMPUTING"",""DISPLAY"",""NETWORKING"",""NETWORK_MATERIAL"",""POWER"",""SERVER""]","[""INSTALLATION_CONTEXT"",""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED"",""PURCHASE_EXPLICIT"",""RENTAL_SUBSCRIPTION_LICENSE""]",62117247,67220167,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
5,L13,Badan Pemeriksa Keuangan,SEKRETARIAT JENDERAL,1,"[{""name"":""SEKRETARIAT JENDERAL"",""count"":35,""first_observed_package_id"":62541852,""last_observed_package_id"":67169796}]",False,NOT_CURRENTLY_VERIFIED,35,29331175211.0,"[""AIR_CONDITIONING"",""CAMERA"",""CCTV"",""COMPUTING"",""DISPLAY"",""NETWORKING"",""OFFICE_APPLIANCE"",""PRINTING_CONSUMABLES"",""PRINTING_HARDWARE"",""SERVER"",""VIDEO_CONFERENCE_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PARTS_CONSUMABLE"",""PRODUCT_ONLY_UNCONTRADICTED"",""PURCHASE_EXPLICIT""]",62541852,67169796,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
7,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI DAERAH KHUSUS IBUKOTA JAKARTA"",""count"":4,""first_observed_package_id"":66454989,""last_observed_package_id"":66456120}]",False,NOT_CURRENTLY_VERIFIED,4,210900000.0,"[""AIR_CONDITIONING"",""CCTV"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",66454989,66456120,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
8,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI JAWA BARAT,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI JAWA BARAT"",""count"":3,""first_observed_package_id"":65297599,""last_observed_package_id"":66991052}]",False,NOT_CURRENTLY_VERIFIED,3,190206000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",65297599,66991052,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
9,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI JAWA TENGAH,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI JAWA TENGAH"",""count"":2,""first_observed_package_id"":65675339,""last_observed_package_id"":65675341}]",False,NOT_CURRENTLY_VERIFIED,2,141663000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65675339,65675341,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
10,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI DAERAH ISTIMEWA YOGYAKARTA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI DAERAH ISTIMEWA YOGYAKARTA"",""count"":8,""first_observed_package_id"":66832401,""last_observed_package_id"":67122763}]",False,NOT_CURRENTLY_VERIFIED,8,607888000.0,"[""AIR_CONDITIONING"",""AUDIO_CONFERENCE"",""CAMERA"",""COMPUTING"",""OFFICE_APPLIANCE"",""POWER"",""PRINTING_HARDWARE"",""VIDEO_CONFERENCE_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",66832401,67122763,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
13,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI SUMATERA UTARA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI SUMATERA UTARA"",""count"":1,""first_observed_package_id"":62562558,""last_observed_package_id"":62562558}]",False,NOT_CURRENTLY_VERIFIED,1,42600000.0,"[""CAMERA""]","[""PURCHASE_EXPLICIT""]",62562558,62562558,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
14,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI SUMATERA BARAT,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI SUMATERA BARAT"",""count"":4,""first_observed_package_id"":62486618,""last_observed_package_id"":62495146}]",False,NOT_CURRENTLY_VERIFIED,4,249060000.0,"[""CAMERA"",""CCTV"",""DRONE"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",62486618,62495146,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
15,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI RIAU,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI RIAU"",""count"":3,""first_observed_package_id"":62126250,""last_observed_package_id"":62126252}]",False,NOT_CURRENTLY_VERIFIED,3,70000000.0,"[""AIR_CONDITIONING"",""POWER"",""PRINTING_HARDWARE""]","[""PURCHASE_EXPLICIT""]",62126250,62126252,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
16,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI JAMBI,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI JAMBI"",""count"":7,""first_observed_package_id"":62091392,""last_observed_package_id"":67133295}]",False,NOT_CURRENTLY_VERIFIED,7,178345000.0,"[""CAMERA"",""COMPUTING"",""DRONE"",""POWER"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",62091392,67133295,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
17,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN"",""count"":1,""first_observed_package_id"":65197757,""last_observed_package_id"":65197757}]",False,NOT_CURRENTLY_VERIFIED,1,182150000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65197757,65197757,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
18,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI LAMPUNG,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI LAMPUNG"",""count"":5,""first_observed_package_id"":62110755,""last_observed_package_id"":67144238}]",False,NOT_CURRENTLY_VERIFIED,5,355070000.0,"[""AIR_CONDITIONING"",""CAMERA"",""COMPUTING"",""OFFICE_APPLIANCE"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",62110755,67144238,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
22,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI KALIMANTAN TIMUR,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI KALIMANTAN TIMUR"",""count"":4,""first_observed_package_id"":62116582,""last_observed_package_id"":65244475}]",False,NOT_CURRENTLY_VERIFIED,4,209232000.0,"[""AIR_CONDITIONING"",""DISPLAY"",""OFFICE_APPLIANCE"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED"",""PURCHASE_EXPLICIT""]",62116582,65244475,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
23,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI SULAWESI UTARA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI SULAWESI UTARA"",""count"":1,""first_observed_package_id"":62102150,""last_observed_package_id"":62102150}]",False,NOT_CURRENTLY_VERIFIED,1,56470000.0,"[""COMPUTING""]","[""MAINTENANCE_CALIBRATION""]",62102150,62102150,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
26,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI SULAWESI TENGGARA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI SULAWESI TENGGARA"",""count"":2,""first_observed_package_id"":66522211,""last_observed_package_id"":66525687}]",False,NOT_CURRENTLY_VERIFIED,2,89838000.0,"[""CCTV"",""OFFICE_APPLIANCE""]","[""PRODUCT_ONLY_UNCONTRADICTED""]",66522211,66525687,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
30,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI NUSA TENGGARA TIMUR,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI NUSA TENGGARA TIMUR"",""count"":1,""first_observed_package_id"":66916013,""last_observed_package_id"":66916013}]",False,NOT_CURRENTLY_VERIFIED,1,126585000.0,"[""AIR_CONDITIONING""]","[""MAINTENANCE_CALIBRATION""]",66916013,66916013,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
31,L13,Badan Pemeriksa Keuangan,BPK RI PERWAKILAN PROVINSI PAPUA,1,"[{""name"":""BPK RI PERWAKILAN PROVINSI PAPUA"",""count"":2,""first_observed_package_id"":62251263,""last_observed_package_id"":62252966}]",False,NOT_CURRENTLY_VERIFIED,2,299334000.0,"[""AIR_CONDITIONING"",""POWER"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",62251263,62252966,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
