endpoint,method,public,authentication_required,response_type,notes
"/nasional/lelang?tahun=YYYY",GET,true,false,HTML,"Halaman publik tender"
"/nasional/nontender?tahun=YYYY",GET,true,false,HTML,"Halaman publik non tender"
"/nasional/darurat?tahun=YYYY",GET,true,false,HTML,"Halaman publik pengadaan darurat"
"/nasional/dt/lelang?tahun=YYYY",POST,true,false,"JSON DataTables","Server-side source untuk tabel tender"
"/nasional/dt/pl?tahun=YYYY",POST,true,false,"JSON DataTables","Server-side source untuk tabel non tender"
"/nasional/dt/darurat-list?tahun=YYYY",POST,true,false,"JSON DataTables","Server-side source untuk tabel darurat"
"/nasional/lelang/{id}/pengumumanlelang",GET,true,false,HTML,"Detail pengumuman tender"
"/nasional/lelang/{id}/jadwal",GET,true,false,HTML,"Detail jadwal tender"
"/nasional/nontender/{id}/pengumumanpl",GET,true,false,HTML,"Detail pengumuman non tender"
"/nasional/nontender/{id}/jadwal",GET,true,false,HTML,"Detail jadwal non tender"
"/nasional/darurat/pengumumandarurat?id={id}",GET,true,false,HTML,"Detail pengumuman darurat"

